GENE
Cyp19a1
Mc4r
Dach2
Ttr
Fzd9
Scn10a
Plagl1
Ddr2
Flt4
Gli1
Lhx5
Nrg1
Rspo3
Hcrtr1
Col9a1
Dbh
Il6st
Irs4
Ros1
Pspn
Fgf2
Styk1
Esr1
Wnt2b
Agrp
Efna4
Htr1d
S100a10
L1cam
Nfatc1
Angptl7
Epha1
Anxa2
Bmpr1b
Igfbp3
Ebf1
Alx1
Col1a1
Foxg1
Ghrh
Gch1
Tbx15
Tfap2c
Trp73
Neurod6
Disc1
Pax4
Cotl1
Trdmt1
Nkx3-1
Cenpb
Pcdh12
Mtap2
Dbi
Gpr139
Npvf
Nkx2-6
Pax1
Hoxc11
Col4a2
Xpnpep2
Cdh17
Adra2a
Slc32a1
Il16
Gabrb1
Fstl1
Tlx3
Nov
Mef2c
Ctss
Gja1
Ache
Fgl2
Slc1a1
Gsk3a
Efnb3
Adrb1
Kitl
Cdh13
Laptm4b
Ddr1
Gpr88
Srd5a1
Mapk8
Kdr
Zbtb20
Btrc
Ptch1
Synpr
Chrnb2
Coch
Olig2
Aph1a
Gpr165
Ptgds
Ar
Pten
Pcp2
Avp
Cacna1b
Slc17a6
Smad7
Pkp2
Aqp4
Camk2a
Fgf18
Csf1
Npas1
Cacna2d3
Mxd4
Gsx1
Ntf3
Cdh2
Mapk9
Nle1
Wnt10a
Itih3
Faah
Bmp4
Tacr1
Avpr1a
Chat
Wnt7b
Slc6a1
Dlk1
Gprc5b
Sh3bgrl2
Grin1
Kcnab3
Nr4a1
Chrna7
Dkk4
Anxa11
Crh
Ntrk2
Pcp4
Loxl1
Trhr
Prkcd
Cds1
Lifr
Egr2
Sema5a
Agt
Fam40b
Dll1
Adcy2
Fgf1
Efna2
Lbx1
Ntsr1
Grm1
Calb1
Abcc1
Sntb1
Adcyap1r1
Fgfr3
Wfs1
Bche
Sema4f
Plcb4
Efna1
Unc5b
Scn1a
Htr4
A930038C07Rik
Daam2
Pofut1
Tcf7l2
Mgst3
Fam3c
Scn4b
Fos
Isoc1
Grid1
Serpina9
Porcn
Spint2
Cntnap4
Whrn
Stx3
Clu
Cacna1g
Tgfa
Hspb8
Rbpj
Barx2
Nrg3
Aatk
Mpped1
Mtf1
Itpr1
Ntng1
Csnk2b
Rgs4
Plcxd2
Egr1
Tie1
Ppp1r1b
Tfam
Cldn5
Csnk2a2
Postn
Gal
LOC546316
6330581N18Rik
Glra4
Inhba
Homer1
Glra1
Gpx3
Hcn1
Actb
Arc
Cntn2
Zmat4
Cx3cl1
Pthlh
S1pr1
Igfbp6
Slc1a2
Gad2
Sema7a
Cacng7
Mapk10
Tyro3
Ephb1
Grid2
Ctnnd1
Slc17a7
Lepr
Grm4
Pak1
Trpc5
Kcng4
Glul
Gabbr1
Dkk3
Sema4d
Nrip3
Rab37
Fgfr1
Stxbp6
Inha
Bcl6
Chrna4
Gfap
Kcnq3
Pex5l
Gpr83
Kcna2
Glp1r
P2rx7
Foxb1
Tnnc1
Kcnc2
Tle6
Comt
Abtb1
Tmem196
Spp1
Tac2
Col24a1
Chrnb3
Rreb1
Sema3e
